X,Y,PC,PQ,EA,NO,CY,RH,LH,CC,DC,WC
-1.41839175760806,50.9135765345596,SO155DQ,10,440985,112847,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41888847507304,50.9136689342538,SO155DR,10,440950,112857,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41829059604641,50.9159860606412,SO155DS,10,440990,113115,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41880201162848,50.9160425632579,SO155DT,10,440954,113121,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41982451113299,50.9161825380554,SO155DU,10,440882,113136,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42034363873057,50.9156185795914,SO155DW,10,440846,113073,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42036441532747,50.9139460500763,SO155DX,10,440846,112887,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41975904325989,50.9134394548421,SO155DY,10,440889,112831,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.4202485762842,50.9129652760287,SO155DZ,10,440855,112778,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.4210905107015,50.9138956964569,SO155EA,10,440795,112881,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42076000952698,50.9141638368367,SO155EB,10,440818,112911,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42275059176407,50.9153877023735,SO155ED,10,440677,113046,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42223750830809,50.9154660984961,SO155EE,10,440713,113055,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42071754267054,50.9164387660444,SO155EF,10,440819,113164,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42106697096604,50.9157930285488,SO155EG,10,440795,113092,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41963220787352,50.9167750970348,SO155EH,10,440895,113202,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42392825506016,50.9179384369831,SO155EJ,10,440592,113329,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42511127895398,50.9177554220696,SO155EL,10,440509,113308,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42314830611372,50.9188878064942,SO155EN,10,440646,113435,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42543513678666,50.9180267953961,SO155EP,10,440486,113338,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42400028510892,50.91901790935,SO155EQ,10,440586,113449,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42586001454669,50.9181817602277,SO155ER,10,440456,113355,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42372277927728,50.9196010617414,SO155ES,10,440605,113514,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42252258345778,50.9200177863359,SO155ET,10,440689,113561,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.4220054719238,50.9192688386027,SO155EU,10,440726,113478,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42296981445762,50.9195164094392,SO155EW,10,440658,113505,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42212395514706,50.9188917340932,SO155EX,10,440718,113436,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42111137503174,50.9190935491863,SO155EY,10,440789,113459,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42084683058157,50.919775678104,SO155EZ,10,440807,113535,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41510934703961,50.9155654992391,SO155FA,10,441214,113070,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42173035099523,50.9208052178954,SO155FB,10,440744,113649,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42317952152672,50.9221163181044,SO155FD,10,440641,113794,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42419417601617,50.9229036852469,SO155FE,10,440569,113881,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42280673887163,50.9223482845621,SO155FF,10,440667,113820,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42169576799633,50.9212996417493,SO155FG,10,440746,113704,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42113352291437,50.9207483048489,SO155FH,10,440786,113643,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42097313652861,50.9187691286445,SO155FJ,10,440799,113423,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.41998897685931,50.9178290092478,SO155FL,10,440869,113319,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42074190890517,50.9179136806894,SO155FN,10,440816,113328,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42287814389553,50.9177264206342,SO155FP,10,440666,113306,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42261652644818,50.9181747594242,SO155FQ,10,440684,113356,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42440634160392,50.917239368534,SO155FR,10,440559,113251,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42418661983992,50.9165998074645,SO155FS,10,440575,113180,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42472616664289,50.9166834007605,SO155FT,10,440537,113189,E92000001,E19000002,E18000009,,E06000045,E05002461
-1.42612388104511,50.9187046305648,SO155FU,10,440437,113413,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.4267633658641,50.9187617275785,SO155FW,10,440392,113419,E92000001,E19000002,E18000009,,E06000045,E05002467
-1.42585952270182,50.9193777790337,SO155FX,10,440455,113488,E92000001,E19000002,E18000009,,E06000045,E05002467
